Price,Close,High,Low,Open,Volume
Ticker,TAN,TAN,TAN,TAN,TAN
Date,,,,,
2023-08-09,63.029624938964844,63.556527517406515,62.13488113367505,62.32376980705304,1249200
2023-08-10,62.413238525390625,63.75535031915541,62.154759111985406,63.02961922085478,713600
2023-08-11,61.4588508605957,61.75709751960273,60.94188821519125,61.64773952640401,769800
2023-08-14,61.657684326171875,61.816749466629105,59.74889884827305,60.77288424535279,1022900
2023-08-15,59.231937408447266,61.02142110881955,59.11263571398703,60.723174457492824,1572400
2023-08-16,57.85005569458008,59.03310620388942,57.740701494459756,58.65532508216284,967500
2023-08-17,56.93543243408203,58.25766067910583,56.80619082467272,58.14830647835706,1160300
2023-08-18,56.67695236206055,57.03484988958076,55.74244510096729,56.09039892360514,1246300
2023-08-21,56.05063247680664,56.68689302833139,55.61320050332435,56.68689302833139,568400
2023-08-22,55.464080810546875,56.46817881385849,55.046532440246374,56.46817881385849,669800
2023-08-23,56.428409576416016,56.72666002707437,55.3746044644515,55.41437169686088,397400
2023-08-24,55.17577362060547,56.69683427441244,55.11612277034185,56.69683427441244,513900
2023-08-25,55.84185791015625,56.16993189912845,55.12606666656513,55.205597341447636,446200
2023-08-28,56.150047302246094,56.55765195898636,55.81203340696792,56.269345208693665,395800
2023-08-29,58.37696075439453,58.65532378931438,56.22957956058391,56.22957956058391,1321700
2023-08-30,57.93952941894531,58.545966430773014,57.70093361284351,58.28748700876073,519300
2023-08-31,57.88982391357422,58.42667018111321,57.77052600714735,57.95941467502423,554900
2023-09-01,58.06877136230469,59.11263655296972,57.869938994460874,58.25766002592972,359000
2023-09-05,57.68104934692383,58.188068273485534,57.521984213844476,57.85999809568958,469400
2023-09-06,56.478118896484375,57.66116558370943,56.08045416859748,57.34303531836468,553200
2023-09-07,55.23542404174805,55.364661861030314,54.40033110660586,55.24536395384203,664900
2023-09-08,55.245361328125,55.41437016498679,54.748282313985015,55.32489579074512,658400
2023-09-11,55.4044303894043,56.1102817293526,55.225481628232586,55.672853531161856,270700
2023-09-12,56.45823669433594,56.62724174285133,55.00676684831004,55.16583198496477,620900
2023-09-13,55.29507064819336,56.66700984311252,55.036591219324684,56.338935860505124,432100
2023-09-14,56.76642608642578,56.88572778915883,55.29507255109461,55.53367216414851,586400
2023-09-15,55.59331512451172,56.6173004725438,55.275184858835324,56.07051431543823,529600
2023-09-18,53.92313766479492,55.22548236440137,53.85354310793405,55.22548236440137,979000
2023-09-19,54.281028747558594,54.98688385484324,53.923135030341705,53.923135030341705,468700
2023-09-20,54.22138214111328,55.28513097444748,54.07225691339231,54.678693943919896,614900
2023-09-21,53.27693176269531,53.74418727477754,52.928977950982244,53.644769191136575,899700
2023-09-22,52.51142883300781,53.783949946103746,52.501488920992024,53.684535656297655,737100
2023-09-25,52.26288604736328,53.088039012311555,51.765807044597864,51.865221328186216,691300
2023-09-26,51.437740325927734,52.1634752635674,51.358205859791404,51.427796621454654,652100
2023-09-27,51.378089904785156,52.42195513085114,51.079843239110886,51.80557818280271,659000
2023-09-28,51.54709243774414,51.805575649792296,50.364045745035504,51.606743284927234,956800
2023-09-29,51.48744583129883,53.217278698139914,51.16931556170938,52.21318074582548,836700
2023-10-02,49.1412353515625,51.030137264876196,48.952346677196005,50.90089564956639,939000
2023-10-03,47.31198501586914,48.60438981156665,46.89443663400278,48.60438981156665,1624300
2023-10-04,47.62017059326172,47.799119339947644,46.09910624643136,47.53069621991875,1440900
2023-10-05,46.38741683959961,47.62017455346472,46.03946302122471,47.321924089243744,671000
2023-10-06,47.45116424560547,47.75935461270108,45.56226618727269,45.73127123888469,866700
2023-10-09,46.814903259277344,47.18274068009055,46.13887547418646,46.54648012763137,425200
2023-10-10,49.469303131103516,49.67807920481475,46.92426093832361,47.15291683580543,3135700
2023-10-11,50.105567932128906,50.90089362468085,49.47924729006398,50.503228882198854,839500
2023-10-12,48.7137451171875,50.16521497988807,48.117251795982675,50.105567923214814,465900
2023-10-13,48.04766082763672,49.051758798895804,47.86871207356488,48.91257727737593,423400
2023-10-16,48.683921813964844,48.87281048165698,47.35174985086287,47.838885180536515,454000
2023-10-17,49.389774322509766,50.05585842390733,47.89853718425141,47.89853718425141,558000
2023-10-18,47.9482421875,48.84298594743246,47.709646379792666,48.84298594743246,331700
2023-10-19,46.476890563964844,47.789178935319114,46.34764895078858,47.58040664724278,1054600
2023-10-20,43.66341781616211,44.4090363208841,42.540021999584155,42.59966905281835,2241400
2023-10-23,43.42482376098633,44.041200687748976,42.30142410691591,42.937684649691796,786500
2023-10-24,44.001434326171875,44.896178102408044,43.65348052008673,43.69324775289991,639800
2023-10-25,42.39089584350586,43.13651433172628,41.794402569894224,42.96750929475396,1036000
2023-10-26,42.79850387573242,43.43476442959452,42.271601315642634,42.271601315642634,788000
2023-10-27,40.71077346801758,42.09265256980928,40.65112261892575,41.754638676446326,1843300
2023-10-30,41.10843276977539,42.3411903880269,40.58153023069974,41.386799595297155,1007000
2023-10-31,41.73475646972656,41.77452370379764,40.95931436740145,41.10843580654972,762400
2023-11-01,41.277442932128906,41.91370348105843,40.50200086217255,41.7745219600316,715800
2023-11-02,42.7885627746582,43.186223713564935,41.436507239069044,41.51603790988561,1509500
2023-11-03,44.438865661621094,45.32366572069185,43.87219587564517,44.160498828354115,1106800
2023-11-06,43.6236572265625,45.035359867322654,43.275699626191816,45.035359867322654,1087000
2023-11-07,43.653480529785156,43.87219651789416,42.80844769058374,43.01721997428121,1066600
2023-11-08,42.29148483276367,43.14646137216415,42.01311799679316,43.05698699496149,918900
2023-11-09,41.31721115112305,42.808448270439264,41.158146010092466,42.261658292760295,753900
2023-11-10,41.158145904541016,41.21779296201695,40.31310926364836,40.85989544751296,820800
2023-11-13,41.466331481933594,41.86399622011261,40.631238565687255,40.96925245541582,940000
2023-11-14,45.7610969543457,45.87045495410301,43.335352511886136,43.335352511886136,3167900
2023-11-15,46.37747573852539,47.80906200196115,45.83068576307678,46.08916898645469,2191000
2023-11-16,45.21430587768555,46.168696657908285,45.005533605589044,45.60202689512529,1278000
2023-11-17,45.363433837890625,45.64179688417597,44.289741300940754,45.64179688417597,1033600
